ソファスペース(エリア5)の人数と感情,,,,,,,,,,,
,,,,感情の割合,,,,,,,
timeStamps,人数,女性人数,笑顔数,happiness,surprise,neutral,sadness,anger,contempt(軽蔑),disgust,fear
1/16/18 9:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 10:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 11:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 12:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 13:19,1,1,0,0.001,0.001,0.932,0.06,0.004,0.001,0.002,0
1/16/18 14:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 15:19,1,1,0,0,0.203,0.769,0.021,0,0.001,0.002,0.004
1/16/18 16:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 17:19,1,0,0,0.003,0,0.98,0.01,0.001,0.005,0.001,0
1/16/18 18:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 19:19,2,0,0,0.007,0.001,0.964,0.008,0.002,0.017,0.002,0
1/16/18 20:19,2,1,0,0.118,0.007,0.788,0.057,0.014,0.007,0.006,0.002
1/16/18 21:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 22:19,0,0,0,0,0,0,0,0,0,0,0
1/16/18 23:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 0:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 1:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 2:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 3:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 4:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 5:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 6:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 7:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 8:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 9:19,1,1,0,0.002,0.63,0.3,0.016,0.004,0.001,0.002,0.046
1/17/18 10:19,2,1,0,0.002,0.001,0.891,0.102,0.001,0.002,0.001,0.001
1/17/18 11:19,1,1,0,0,0.002,0.933,0.06,0.002,0.001,0.001,0
1/17/18 12:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 13:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 14:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 15:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 16:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 17:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 18:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 19:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 20:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 21:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 22:19,0,0,0,0,0,0,0,0,0,0,0
1/17/18 23:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 0:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 1:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 2:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 3:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 4:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 5:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 6:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 7:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 8:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 9:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 10:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 11:19,2,2,0,0.001,0.001,0.867,0.127,0,0.004,0.001,0
1/18/18 12:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 13:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 14:19,1,1,0,0,0.021,0.912,0.007,0.051,0.006,0.001,0.002
1/18/18 15:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 16:19,0,0,0,0,0,0,0,0,0,0,0
1/18/18 17:19,1,0,0,0.002,0.001,0.956,0.039,0.002,0.001,0.001,0
1/18/18 18:19,2,1,1,0.524,0.002,0.429,0.033,0.001,0.009,0.002,0
1/18/18 19:19,1,0,0,0.001,0,0.942,0.039,0.004,0.002,0.012,0
1/18/18 20:19,1,0,0,0.105,0.001,0.78,0.054,0.018,0.025,0.018,0
