timestamps,エリア1,エリア2,エリア3,エリア4,エリア5,エリア6,エリア7,エリア8,エリア9,総人数
1/16/18 9:00,0,0,0,1,1,1,1,1,5,10
1/16/18 10:00,0,0,0,9,2,6,1,2,3,23
1/16/18 11:00,0,0,0,13,1,4,0,2,4,24
1/16/18 12:00,1,0,1,11,4,6,0,6,6,35
1/16/18 13:00,2,0,0,9,6,6,0,3,5,31
1/16/18 14:00,2,0,1,14,5,9,0,2,2,35
1/16/18 15:00,1,0,3,12,2,9,1,0,2,30
1/16/18 16:00,0,0,3,11,2,9,0,2,4,31
1/16/18 17:00,0,0,0,0,0,0,0,0,0,0
1/16/18 18:00,1,0,2,9,2,7,6,5,0,32
1/16/18 19:00,1,0,2,4,3,6,6,2,7,31
1/16/18 20:00,0,0,1,10,4,8,4,6,3,36
1/16/18 21:00,0,0,0,3,3,8,0,1,9,24
1/16/18 22:00,0,0,0,9,1,1,4,0,3,18
1/16/18 23:00,0,0,0,4,0,0,0,0,0,4
1/17/18 0:00,0,0,0,0,0,0,0,0,0,0
1/17/18 1:00,0,0,0,0,0,0,0,0,0,0
1/17/18 2:00,0,0,0,0,0,0,0,0,0,0
1/17/18 3:00,0,0,0,0,0,0,0,0,0,0
1/17/18 4:00,0,0,0,0,0,0,0,0,0,0
1/17/18 5:00,0,0,0,0,0,0,0,0,0,0
1/17/18 6:00,0,0,0,1,0,0,0,0,0,1
1/17/18 7:00,0,0,1,0,0,0,0,0,0,1
1/17/18 8:00,0,0,0,0,0,1,0,0,0,1
1/17/18 9:00,0,0,0,2,1,0,0,0,1,4
1/17/18 10:00,0,0,0,8,4,7,2,6,3,30
1/17/18 11:00,0,0,1,8,1,7,0,8,2,27
1/17/18 12:00,0,0,1,8,0,6,0,3,5,23
1/17/18 13:00,1,0,0,9,5,5,5,6,4,35
1/17/18 14:00,2,0,1,8,5,6,1,7,4,34
1/17/18 15:00,1,0,1,10,3,8,1,3,9,36
1/17/18 16:00,2,0,0,13,7,9,1,7,4,43
1/17/18 17:00,3,0,0,4,8,3,0,3,6,27
1/17/18 18:00,3,0,0,8,3,8,2,2,4,30
1/17/18 19:00,2,0,1,7,4,8,2,3,6,33
1/17/18 20:00,0,0,0,4,5,3,3,2,2,19
1/17/18 21:00,0,0,0,3,0,5,2,4,1,15
1/17/18 22:00,0,0,0,3,1,1,1,0,0,6
1/17/18 23:00,0,0,0,0,1,0,0,0,0,1
1/18/18 0:00,0,0,0,0,0,0,0,0,0,0
1/18/18 1:00,0,0,0,0,0,0,0,0,0,0
1/18/18 2:00,0,0,0,0,0,0,0,0,0,0
1/18/18 3:00,0,0,0,1,0,0,0,0,0,1
1/18/18 4:00,0,0,0,0,0,0,0,0,0,0
1/18/18 5:00,0,0,0,0,0,0,0,0,0,0
1/18/18 6:00,0,0,0,0,0,1,0,0,0,1
1/18/18 7:00,0,0,1,0,0,0,0,0,0,1
1/18/18 8:00,0,0,0,0,1,0,0,0,0,1
1/18/18 9:00,0,0,0,7,1,0,1,0,1,10
1/18/18 10:00,0,0,0,6,1,2,2,6,4,21
1/18/18 11:00,0,0,2,11,2,4,0,7,3,29
1/18/18 12:00,2,0,0,10,1,7,1,4,5,30
1/18/18 13:00,1,0,0,12,0,9,2,2,4,30
1/18/18 14:00,0,0,0,13,3,4,4,4,6,34
1/18/18 15:00,0,0,1,16,3,6,3,3,6,38
1/18/18 16:00,1,0,0,10,5,9,4,2,7,38
1/18/18 17:00,2,0,2,9,2,7,2,1,5,30
1/18/18 18:00,0,0,1,14,1,4,3,1,7,31
1/18/18 19:00,0,0,1,14,8,2,3,3,6,37
1/18/18 20:00,0,0,0,12,4,1,2,1,2,22
