timestamps,気圧,湿度,照度,UVI,騒音,温度,暑さ指数,不快指数
2018-01-16T09:03:31,1012,36.78,271,0.04,37.71,21.76,16.84,66.58
2018-01-16T09:53:54,1011.9,37.89,270,0.03,37.94,22.39,17.48,67.41
2018-01-16T10:13:31,1011.6,38.2,268,0.04,33.94,22.65,17.77,67.74
2018-01-16T11:58:54,1010,40.42,261,0.03,36.72,23.22,18.5,68.61
2018-01-16T12:53:25,1008.8,41.16,247,0.04,34.64,23.59,18.92,69.13
2018-01-16T13:49:04,1008.4,42,248,0.04,37.47,23.91,19.3,69.6
2018-01-16T13:49:04,1008.4,42,248,0.04,37.47,23.91,19.3,69.6
2018-01-16T13:49:04,1008.4,42,248,0.04,37.47,23.91,19.3,69.6
2018-01-16T16:53:48,1007.6,41.17,224,0.03,40.68,23.82,19.1,69.41
2018-01-16T17:59:25,1007.1,41.52,226,0.03,35.59,24.04,19.29,69.71
2018-01-16T18:18:49,1007.2,41.79,224,0.04,40.68,24.07,19.33,69.77
2018-01-16T19:58:30,1006.8,42.53,45,0.02,49.65,23.89,19.3,69.62
2018-01-16T21:03:47,1006.5,42.63,34,0.02,38.39,23.77,19.2,69.48
2018-01-16T22:03:29,1006.8,42.41,421,0.04,34.3,23.27,18.79,68.85
2018-01-16T23:03:57,1006.5,40.11,421,0.05,33.57,22.91,18.24,68.21
2018-01-16T23:53:33,1006.1,40.08,419,0.05,33.94,22.73,18.09,67.99
2018-01-17T00:59:03,1005.7,40.27,419,0.04,34.64,22.53,17.93,67.77
2018-01-17T01:53:41,1005.3,40.34,419,0.04,33.94,22.38,17.83,67.59
2018-01-17T02:49:07,1005.4,40.54,420,0.04,34.97,22.26,17.73,67.46
2018-01-17T03:48:43,1004.9,40.65,0,0.02,32.77,22.14,17.63,67.33
2018-01-17T05:07:41,1004.7,40.88,0,0.02,34.97,21.77,17.34,66.89
2018-01-17T05:57:40,1004.8,41.04,417,0.05,34.97,21.83,17.5,66.98
2018-01-17T07:04:06,1005.4,40.98,0,0.02,35.89,21.65,17.27,66.75
2018-01-17T08:04:06,1005.8,39.53,429,0.04,34.64,21.68,17.13,66.69
2018-01-17T09:04:33,1006.3,38.09,423,0.05,39.61,22.27,17.47,67.28
2018-01-17T09:39:02,1006,38.89,423,0.05,35.28,22.59,17.74,67.73
2018-01-17T10:54:28,1005.4,41.68,345,0.04,32.77,24.15,19.4,69.86
2018-01-17T11:54:07,1003.8,42.41,291,0.03,39.22,24.63,19.91,70.52
2018-01-17T11:54:07,1003.8,42.41,291,0.03,39.22,24.63,19.91,70.52
2018-01-17T11:54:07,1003.8,42.41,291,0.03,39.22,24.63,19.91,70.52
2018-01-17T15:04:03,1001.1,43.91,366,0.04,43.51,23.97,19.5,69.85
2018-01-17T15:04:03,1001.1,43.91,366,0.04,43.51,23.97,19.5,69.85
2018-01-17T16:49:16,999.9,42.54,367,0.04,41,24.17,19.53,69.97
2018-01-17T17:24:23,999.1,42.93,362,0.04,46.28,23.89,19.32,69.66
2018-01-17T18:49:13,997.2,42.14,275,0.04,40.84,24.63,19.9,70.49
2018-01-17T19:19:10,997.5,41.92,276,0.04,43.26,24.53,19.71,70.35
2018-01-17T20:44:48,997.4,42.31,426,0.05,46.45,24.17,19.53,69.95
2018-01-17T21:58:48,997.2,41.88,434,0.05,36.72,23.23,18.64,68.75
2018-01-17T22:53:52,997.4,41.89,434,0.05,34.97,23,18.46,68.47
2018-01-17T23:58:55,996.9,42.21,0,0.02,33.57,22.65,18.29,68.07
2018-01-18T00:58:54,997.2,42.37,0,0.02,33.57,22.21,17.94,67.54
2018-01-18T01:58:51,998.1,42.65,1,0.02,31.58,21.96,17.74,67.26
2018-01-18T02:49:01,998.4,42.89,0,0.02,34.97,21.81,17.64,67.09
2018-01-18T03:48:59,999.2,43.3,0,0.03,35.28,21.56,17.53,66.81
2018-01-18T05:04:19,1000.5,43.48,0,0.02,34.3,21.38,17.41,66.6
2018-01-18T05:47:55,1000.6,43.45,0,0.02,34.3,21.37,17.4,66.58
2018-01-18T07:03:54,1001.6,43.38,3,0.02,34.3,21.26,17.29,66.44
2018-01-18T08:04:26,1002.6,42.3,455,0.04,35.28,21.58,17.43,66.76
2018-01-18T09:04:11,1003.4,41.08,460,0.04,34.64,22.18,17.78,67.41
2018-01-18T09:53:59,1003.7,41.77,469,0.05,34.64,22.74,18.25,68.14
2018-01-18T10:44:04,1002.7,43.53,455,0.05,39.98,23.25,18.91,68.92
2018-01-18T12:04:33,1002,44.8,406,0.05,36.17,24.26,19.88,70.3
2018-01-18T12:44:06,1001.9,43.73,420,0.04,35.28,24.41,19.86,70.38
2018-01-18T13:44:03,1001.9,42.64,405,0.04,37.71,24.72,19.99,70.66
2018-01-18T14:29:31,1002.3,41.95,381,0.04,34.97,24.67,19.82,70.52
2018-01-18T14:29:31,1002.3,41.95,381,0.04,34.97,24.67,19.82,70.52
2018-01-18T16:54:12,1003,41.24,381,0.05,42.21,24.74,19.86,70.54
2018-01-18T17:49:41,1003.4,41.18,349,0.04,39.61,24.78,19.9,70.58
2018-01-18T18:59:08,1004.2,40.81,423,0.04,39.22,24.13,19.24,69.75
2018-01-18T19:34:07,1003.9,41.6,425,0.05,43.51,23.86,19.16,69.5
